SD_System,SD_Sub_System,SD_System_Name,SD_Subsystem_Name,discipline,TOTAL ITEM,TOTAL DONE,TOTAL PENDING,TOTAL PUNCH,TOTAL CLEAR PUNCH,TOTAL NOT CLEAR PUNCH,TOTAL HOLD POINT
1000,1000-01,Gas Preparation,Natural Gas and Desulphurization,IN,166,0,0,0,0,0,0
1000,1000-01,Gas Preparation,Natural Gas and Desulphurization,PI,21,0,0,44,7,37,2
1000,1000-01,Gas Preparation,Natural Gas and Desulphurization,MES,5,0,0,28,0,28,0
1000,1000-02,Gas Preparation,Fuel Gas & Distribution,MES,1,0,0,0,0,0,0
1000,1000-02,Gas Preparation,Fuel Gas & Distribution,PI,12,0,0,23,4,19,0
1000,1000-02,Gas Preparation,Fuel Gas & Distribution,IN,171,0,0,0,0,0,0
1000,1000-03,Gas Preparation,Natural Gas Saturation & Condensate,MES,13,0,0,8,0,8,0
1000,1000-03,Gas Preparation,Natural Gas Saturation & Condensate,MER,9,0,0,0,0,0,0
1000,1000-03,Gas Preparation,Natural Gas Saturation & Condensate,IN,327,0,0,0,0,0,0
1000,1000-03,Gas Preparation,Natural Gas Saturation & Condensate,PI,56,0,0,165,47,118,1
1000,1000-04,Gas Preparation,Gas Station,IN,2,0,0,0,0,0,0
1000,1000-04,Gas Preparation,Gas Station,PI,1,0,0,0,0,0,0
120,120-01,Electrical Distribution Substation,6kV SWITCHBOARD SS-SWB2A/B-01,EL,169,0,0,1083,0,1083,0
120,120-02,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-SWB3A/B-01,EL,308,0,0,1243,0,1243,0
120,120-03,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-SWB3A/B-02,EL,290,0,0,1009,0,1009,0
120,120-04,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-SWB3A/B-03,EL,264,0,0,874,0,874,0
120,120-05,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-SWB3A/B-04,EL,244,0,0,872,0,872,0
120,120-06,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-SWB3A/B-05,EL,222,0,0,872,0,872,0
120,120-07,Electrical Distribution Substation,0-4KV SWITCHBOARD SS-ESWB3A/B-01,EL,147,0,0,480,0,480,0
120,120-08,Electrical Distribution Substation,Emergency Diesel Generator SS-DG-5701,EL,8,0,0,0,0,0,0
120,120-09,Electrical Distribution Substation,CR-UPS-01 for Instrument Supply 190/110 AC UPS,EL,29,0,0,14,0,14,0
120,120-10,Electrical Distribution Substation,SS-CH-01 for Electrical Supply 110V DC,EL,24,0,0,80,0,80,0
120,120-11,Electrical Distribution Substation,SS-UPS-01 for Safety Lighting Supply 230 AC UPS,EL,18,0,0,41,0,41,0
120,120-12,Electrical Distribution Substation,SS PDCS System,EL,10,0,0,4,0,4,0
120,120-13,Electrical Distribution Substation,Cathodic Protection System,EL,153,0,0,462,462,0,0
120,120-14,Electrical Distribution Substation,Electric Heat Tracing System,EL,3,0,0,0,0,0,0
120,120-15,Electrical Distribution Substation,Capacitor Bank,EL,5,0,0,0,0,0,0
120,120-16,Electrical Distribution Substation,MV Transformer,EL,12,6,0,50,0,50,6
120,120-17,Electrical Distribution Substation,LV Transformer,EL,15,12,0,104,0,104,3
120,120-18,Electrical Distribution Substation,E/I Cabinet,EL,16,0,0,48,0,48,0
2000,2000-01,Reforming,Pre Reforming,MES,2,0,0,0,0,0,0
2000,2000-01,Reforming,Pre Reforming,PI,8,0,0,11,0,11,0
2000,2000-01,Reforming,Pre Reforming,IN,77,0,0,0,0,0,0
2000,2000-02,Reforming,Primary Reforming,MES,8,0,0,0,0,0,0
2000,2000-02,Reforming,Primary Reforming,IN,696,0,0,0,0,0,0
2000,2000-02,Reforming,Primary Reforming,PI,9,0,0,14,2,12,0
2000,2000-03,Reforming,Process Oxygen and Secondary Reformer,PI,24,0,0,12,0,12,2
2000,2000-03,Reforming,Process Oxygen and Secondary Reformer,IN,341,0,0,0,0,0,0
2000,2000-03,Reforming,Process Oxygen and Secondary Reformer,MES,6,0,0,0,0,0,0
2000,2000-04,Reforming,Steam Generation & Superheated Steam,MES,11,0,0,0,0,0,0
2000,2000-04,Reforming,Steam Generation & Superheated Steam,MER,2,0,0,0,0,0,0
2000,2000-04,Reforming,Steam Generation & Superheated Steam,PI,23,0,0,34,1,33,2
2000,2000-04,Reforming,Steam Generation & Superheated Steam,IN,224,0,0,0,0,0,0
2000,2000-05,Reforming,Gas Cooling and Separation,MES,7,0,0,20,0,20,0
2000,2000-05,Reforming,Gas Cooling and Separation,IN,216,0,0,0,0,0,0
