SD_SUB_SYSTEM,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,HP_Priority,HP_Description,HP_Location
4000-04,PI,4000-04-VA-10-756,PI_TP,,Vent LG-7092,SEQ
3000-02,PI,3000-02-VA-04-754,PI_TP,,D-3003 & LG-3044,Equipment
3000-02,PI,3000-02-VA-05-755,PI_TP,,D-3003 & LG-3044,Equipment
3000-02,PI,3000-02-BFW-02-806,PI_TP,,LG-3044/1,Equipment
1000-01,PI,1000-01-OW-03-722,PI_TP,,Drain LG,SEQ
7000-01,PI,7000-01-FLG-15-911,PI_TP,,LG-2475,SEQ
4000-02,PI,4000-02-HPC-07-1022,PI_TP,,LG-2017,SEQ
2000-04,PI,2000-04-VA-06-686,PI_TP,,AREA-48  LG-2017,SEQ
3000-02,PI,3000-02-WWO-01-740,PI_TP,,AT-3053,Equipment
4000-08,PI,4000-08-CWR-80-320,PI_TP,,PANEL  AT-7099,Equipment
4000-08,PI,4000-08-CWS-61-352,PI_TP,,HOLD PANEL/AT-7099,Equipment
2000-03,PI,2000-03-PO-04-888,PI_TP,,کسری دو عدد ولو  60AF45K-1.1/2 NIS  ( NIS ),Shortage
4000-08,PI,4000-08-CWR-56-296,PI_TP,,PANEL AT 3053/3055-,Equipment
4000-08,PI,4000-08-CWS-53-344,PI_TP,,HOLD PANEL  AT-3053,SEQ
4000-09,PI,2000-03-WWO-02-738,PI_TP,,E-3011 PANEL  AT-7099,Equipment
3000-02,PI,3000-02-BFW-01-805,PI_TP,,D-3003 & LG-3044-2,Equipment
4000-11,PI,4000-11-IA-09-1026,PI_TP,,از جوینت 6 الی 11 HOLD ISO  می باشد,DWG
5000-04,PI,5000-04-PMP-02-031,PI_TP,, HOS-4306-4 NIS MRC-114,Shortage
5000-01,PI,5000-01-PMC-17-482,PI_TP,, VENDOR اندازه(LG-5061) مشکل دارد,Equipment
4000-06,PI,4000-06-CS-02-990,PI_TP,,ISO 44001 AFC ( ISO WITH HOLD ),DWG
2000-04,PI,2000-04-VA-05-653,PI_TP,,AREA-48- LG-2374/1  - LG-2374/2  -LG-2374/3ISO:48134 10073QK-1/2  7.9M,Equipment
3000-01,PI,3000-01-LPC-06-860,PI_TP,,نازل تجهیز مشخص نیستC-3001,SEQ
3000-01,PI,3000-01-LPC-08-956,PI_TP,,کسری پایپ 3 متر ( کسری کارفرما )MIV-2151-KC 10383QF-1,Shortage
4000-02,PI,4000-02-LPS-15-977,PI_TP,,HOLD PK7502,Equipment
4000-01,PI,4000-01-N-10-979,PI_TP,,به دلیل عدم نصب  رکتور و 3/4 بودن  خط این پکیج فعلا قابل اجرا نیست -این خط مشترک  رکتور می باشد,SEQ
4000-08,PI,4000-08-CWR-52-292,PI_TP,,SC-3074 & R-3001-1 & R-3001-2,Equipment
4000-08,PI,4000-08-CWR-53-293,PI_TP,,SC-3078 & R-3001-2 & R-3001-3-,Equipment
4000-08,PI,4000-08-CWR-54-294,PI_TP,,SC-3082 & R-3001-3-,Equipment
5000-01,PI,5000-01-PMC-16-481,PI_TP,,اندازه LG با فاصله نازل تجهیز اختلاف دارد LG-5038 ,SEQ
7000-01,PI,7000-01-FLG-24-988,PI_TP,,موقعیت  SC-3074 بین R-3001-1 و 3001-2 ,Equipment
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO HOLD AFC ( WITH HOLD ),DWG
5000-01,PI,5000-01-PMV-04-252,PI_TP,,ISO HOLD AFC ( WITH HOLD ),DWG
4000-08,PI,4000-08-CHA-03-515,PI_TP,,10533QV-1   7MEQ-PUMP-PK-8004,SEQ
5000-04,PI,5000-04-PMV-01-035,PI_TP,,ISO HOLD AFC ( WITH HOLD ),DWG
