SD_SUB_SYSTEM,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description
LS-02,EL,00-ELP-02,Panel,A,ارت تجهیز نصب شود
LS-02,EL,00-ELP-02,Panel,B,پلیسه گیری و تاچ آپ سه لایه ساپورت انجام شود
LS-02,EL,00-ELP-02,Panel,C,Pereservation تجهیز انجام شود
LS-02,EL,00-ELP-02,Panel,A,سربندی تجهیز انجام شود
LS-02,EL,00-ELP-03,Panel,A,ارت تجهیز نصب شود
LS-02,EL,00-ELP-03,Panel,B,پلیسه گیری و تاچ آپ سه لایه ساپورت انجام شود
LS-02,EL,00-ELP-03,Panel,C,Pereservation تجهیز انجام شود
LS-02,EL,00-ELP-03,Panel,A,سربندی تجهیز انجام شود
LS-02,EL,00-ELP-04,Panel,A,ارت تجهیز نصب شود
LS-02,EL,00-ELP-04,Panel,B,پلیسه گیری و تاچ آپ سه لایه ساپورت انجام شود
LS-02,EL,00-ELP-04,Panel,C,Pereservation تجهیز انجام شود
LS-02,EL,00-ELP-04,Panel,A,سربندی تجهیز انجام شود
LS-02,EL,00-ELP-04,Panel,C,گروت ریزی ساپورت تجهیز انجام شود
LS-02,EL,00-ELP-04,Panel,C,ASBUILT مدارک انجام شود
LS-01,EL,00-LP-02,Panel,A,ارت تجهیز نصب شود
LS-01,EL,00-LP-02,Panel,B,پلیسه گیری و تاچ آپ سه لایه ساپورت انجام شود
LS-01,EL,00-LP-02,Panel,C,Pereservation تجهیز انجام شود
LS-01,EL,00-LP-02,Panel,A,سربندی تجهیز انجام شود
LS-01,EL,00-LP-03,Panel,A,ارت تجهیز نصب شود
LS-01,EL,00-LP-03,Panel,B,پلیسه گیری و تاچ آپ سه لایه ساپورت انجام شود
LS-01,EL,00-LP-03,Panel,C,Pereservation تجهیز انجام شود
LS-01,EL,00-LP-03,Panel,A,سربندی تجهیز انجام شود
LS-01,EL,00-LP-04,Panel,A,ارت تجهیز نصب شود
LS-01,EL,00-LP-04,Panel,B,پلیسه گیری و تاچ آپ سه لایه ساپورت انجام شود
LS-01,EL,00-LP-04,Panel,C,Pereservation تجهیز انجام شود
LS-01,EL,00-LP-04,Panel,A,سربندی تجهیز انجام شود
LS-01,EL,00-LP-04,Panel,C,گروت ریزی ساپورت تجهیز انجام شود
LS-01,EL,00-LP-04,Panel,C,ASBUILT مدارک انجام شود
LS-01,EL,00-RP-02,Panel,A,ارت تجهیز نصب شود
LS-01,EL,00-RP-02,Panel,B,پلیسه گیری و تاچ آپ سه لایه ساپورت انجام شود
LS-01,EL,00-RP-02,Panel,C,Pereservation تجهیز انجام شود
LS-01,EL,00-RP-02,Panel,A,سربندی تجهیز انجام شود
LS-01,EL,00-RP-03,Panel,A,ارت تجهیز نصب شود
LS-01,EL,00-RP-03,Panel,B,پلیسه گیری و تاچ آپ سه لایه ساپورت انجام شود
LS-01,EL,00-RP-03,Panel,C,Pereservation تجهیز انجام شود
LS-01,EL,00-RP-03,Panel,A,سربندی تجهیز انجام شود
LS-01,EL,00-RP-04,Panel,A,ارت تجهیز نصب شود
LS-01,EL,00-RP-04,Panel,B,پلیسه گیری و تاچ آپ سه لایه ساپورت انجام شود
LS-01,EL,00-RP-04,Panel,C,Pereservation تجهیز انجام شود
LS-01,EL,00-RP-04,Panel,A,سربندی تجهیز انجام شود
LS-01,EL,00-RP-04,Panel,C,گروت ریزی ساپورت تجهیز انجام شود
LS-01,EL,00-RP-04,Panel,C,ASBUILT مدارک انجام شود
LS-08,EL,03-EJB1_2-1-L1-02,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB1_2-1-L1-02,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-EJB1_2-1-L1-02,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB1_2-1-L1-02,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB1_2-1-L1-02,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB1_2-1-L1-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-EJB1_2-1-L1-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB1_2-1-L1-03,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB1_2-1-L1-03,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB1_2-1-L1-03,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB1_2-1-L1-03,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB1_2-1-L1-03,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-EJB1_2-1-L1-03-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB1_2-1-L1-03-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-EJB1_2-1-L2-02,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB1_2-1-L2-02,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-EJB1_2-1-L2-02,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB1_2-1-L2-02,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB1_2-1-L2-02,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB1_2-1-L2-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB1_2-1-L2-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-EJB1_2-1-L3-02,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB1_2-1-L3-02,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-EJB1_2-1-L3-02,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB1_2-1-L3-02,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB1_2-1-L3-02,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB1_2-1-L3-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB1_2-1-L3-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-EJB2_1-2-L1-01,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB2_1-2-L1-01,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB2_1-2-L1-01,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-EJB2_1-2-L1-01,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB2_1-2-L1-01,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB2_1-2-L1-01-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-EJB2_1-2-L1-01-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB2_1-2-L1-02,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB2_1-2-L1-02,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB2_1-2-L1-02,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB2_1-2-L1-02,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB2_1-2-L1-02,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-EJB2_1-2-L1-02-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB2_1-2-L1-02-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-EJB2_1-2-L1-05,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB2_1-2-L1-05,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-EJB2_1-2-L1-05,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB2_1-2-L1-05,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB2_1-2-L1-05,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB2_1-2-L1-05-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-EJB2_1-2-L1-05-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB2_1-2-L1-06,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB2_1-2-L1-06,Lighting Fixture,B,Touch up  shall be done.
LS-08,EL,03-EJB2_1-2-L1-06,Lighting Fixture,A,JB NOT INSTALLED.
LS-08,EL,03-EJB2_1-2-L1-06,Lighting Fixture,C,BUSHING SHALL BE INSTALLED.
LS-08,EL,03-EJB2_1-2-L1-06,Lighting Fixture,B,Cap jb shall be installed.
LS-08,EL,03-EJB2_1-2-L1-06-FJB01,Lighting Cable,B,Cable Arrangment shall be done.
LS-08,EL,03-EJB2_1-2-L1-06-FJB01,Lighting Cable,A,Tag No shall be installed.
LS-08,EL,03-EJB2_1-2-L2-01,Lighting Fixture,A,Tag No S.S shall be installed.
LS-08,EL,03-EJB2_1-2-L2-01,Lighting Fixture,B,Cap jb shall be installed.
